咪咕-央视,#genre#
CCTV-1,http://45.192.97.170:8880/play/1.m3u8
CCTV-2,http://45.192.97.170:8880/play/2.m3u8
CCTV-3,http://45.192.97.170:8880/play/3.m3u8
CCTV-4,http://45.192.97.170:8880/play/4.m3u8
CCTV5,http://45.192.97.170:8880/play/5.m3u8
CCTV-5+,http://45.192.97.170:8880/play/6.m3u8
CCTV-6,http://45.192.97.170:8880/play/7.m3u8
CCTV-7,http://45.192.97.170:8880/play/8.m3u8
CCTV-8,http://45.192.97.170:8880/play/9.m3u8
CCTV-9,http://45.192.97.170:8880/play/10.m3u8
CCTV-10,http://45.192.97.170:8880/play/11.m3u8
CCTV-11,http://45.192.97.170:8880/play/12.m3u8
CCTV-12,http://45.192.97.170:8880/play/13.m3u8
CCTV-13,http://45.192.97.170:8880/play/14.m3u8
CCTV-14,http://45.192.97.170:8880/play/15.m3u8
CCTV-15,http://45.192.97.170:8880/play/16.m3u8
CCTV-17,http://45.192.97.170:8880/play/17.m3u8
咪咕-卫视,#genre#
东方卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
天津卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
江苏卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
浙江卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
深圳卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8
湖北卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
湖南卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
NewTV中国功夫HD,http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8
NewTV农业致富HD,http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8
南宁新闻综合,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
