CYZ-央视,#genre#
CCTV-1综合4M,http://39.135.32.43:6610/000000001000/1000000001000021973/1.m3u8
中央台CCTV-2财经4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
中央台CCTV-3综艺4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
中央台CCTV-4国际4M1080P,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.39.39/PLTV/88888888/224/3221226146/index.m3u8
中央台CCTV-5+体育6M,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
中央台CCTV-6电影4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
中央台CCTV-7国防军事4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
中央台CCTV-8电视剧4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
中央台CCTV-9纪录4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
中央台CCTV-10科教4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
中央台CCTV-11戏曲4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
中央台CCTV-12社会与法4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
中央台CCTV-13新闻4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
中央台CCTV-14少儿4M,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
中央台CCTV-15音乐4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
中央台CCTV-17农业农村4M,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CYZ-卫视,#genre#
东方卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
天津卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
江苏卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
浙江卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
深圳卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8
湖北卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
湖南卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
NewTV中国功夫HD,http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8
NewTV农业致富HD,http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8
